SMILES,LOGD
C[C@@H]1c2nnc(-c3csc(-c4ccc(F)cc4F)n3)n2CCN1C(=O)c1ccc(-c2cccs2)cc1,5.0
C[C@H](CCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,5.0
C[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1cccc(O)c1,5.0
C[C@H](Oc1cccc(C2CC2)c1)c1c(Cl)ccc(F)c1Cl,5.0
C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,5.0
CC(C)(C)C(=O)N1CCC1c1ccccc1,5.0
CC(C)(C)c1ccc(C(=O)Nc2cc3c(cc2C#N)CCCCC3)cc1,5.0
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,5.0
CC(C)(C)c1ccc(C(=O)Nc2cc3c(cc2O)CCCCC3)cc1,5.0
CC(C)(C)c1ccc(C(=O)Nc2cc3c(cc2OC(F)(F)F)CCCCC3)cc1,5.0
c1ccc(Nc2nc3c(s2)CCCc2n[nH]cc2-3)nc1,5.0
CC(C)(C)c1ccc(NC(=O)c2cc3c(cc2OC(F)F)CCCCC3)cc1,5.0
CC(=O)c1ccc(OCc2ccccn2)c(-c2ccccc2)c1,5.0
CC(C)(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,5.0
CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccc(F)cc1-c1ccc(F)cc1,5.0
CC(=O)Oc1cc2c(cc1NC(=O)c1ccc(C(C)(C)C)cc1)CCCCC2,5.0
C[C@@H]1CCCN(c2ncc(Cl)c(Nc3ccc4c(c3)c3c(c(=O)n4C)OCC(F)(F)[C@H](C4CC4)N3)n2)C1,5.0
CC(C)C(CC(=O)OC[C@H](CO)OC(=O)CC(C(C)C)C(C)C)C(C)C,5.0
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(O[C@@H]1CCOC1)c1ccc(Cl)cc1,5.0
CC(C)Oc1ccc(-c2nnc(-c3cn[nH]c3)s2)cc1Cl,5.0
CC(Cc1nsc(Nc2ccc(F)c(Cl)c2)n1)NC1CC(C)(C)NC(C)(C)C1,5.0
CC(C)C(C/C=C1/CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O)C(C)C,5.0
CC(C)CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl,5.0
Cc1cc(CNCc2cc(C)nn2-c2ccccc2)n(-c2ccccc2)n1,5.0
Cc1ccc2c(c1)nc(CCc1nc(C)c3cccnn13)n2-c1ccccc1,5.0
Cc1ccccc1-c1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,5.0
Cc1nc(C#Cc2ccc(-c3ccccc3)cc2)cs1,5.0
CC1(C)[C@H]2CC=C(CN3CCC(Nc4nc(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)ns4)CC3)[C@@H]1C2,5.0
Cc1nc2c3c(c(C(=O)Nc4ccccc4)cn2c1C)CCC(c1ccccc1)O3,5.0
Cc1c(C(=O)Nc2nc(C3CCC3)c(N3CCN(C)CC3)s2)cnn1C1CCCCC1.Cl.Cl,5.0
Cc1cc(OCc2cc(C)nn2-c2ccccc2)n(CCN)n1,5.0
Cc1cnn(CC(=O)[C@H]2CC[C@H]3[C@@H]4CC[C@@H]5C[C@](C)(O)CC[C@@H]5[C@H]4CC[C@]23C)c1,5.0
CCc1cc2c(cc1NC(=O)c1ccc(C(C)(C)C)cc1)CCCCC2,5.0
Cc1noc(C)c1-c1cc(C(=O)NC[C@H]2CC[C@H](CNC(=O)OC(C)(C)C)CC2)c2ccccc2n1,5.0
CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(OCC3CCOCC3)c(S(=N)(=O)CC)c2)cc1,5.0
CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC,5.0
Cc1nc(-c2ccccc2)oc1C(=O)Nc1nc(C2CCC2)c(N2CCN(C)CC2)s1.Cl.Cl,5.0
CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NCc3ccc(F)cc3)CC2)nc1C(F)(F)F,5.0
CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)Nc3ccccc3)CC2)nc1C(F)(F)F,5.0
CCOc1nc(Nc2ccc(C(=O)N3CCOC[C@@H]3C)cc2OC)nc2[nH]ccc12,5.0
CCCCNC(=O)NCCNCC(O)COc1ccc(-c2nc(C)c[nH]2)cc1,5.0
